🇨🇳央视频道,#genre#
CCTV_1HD,http://39.134.3.65:6610/000000001666/100000000100111211/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_1HD,http://39.134.3.65:6610/000000001777/400000000100111062/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_1HD,http://39.134.3.65:6610/000000001777/400000000100111001/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_1HD,http://ltccq.cqa.bcs.ottcn.com/000000001777/400000000100111062/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_1HD,http://ltccq.cqa.bcs.ottcn.com/000000001777/400000000100111001/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_1HD,http://ltccq.cqa.bcs.ottcn.com/000000001666/100000000100111211/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_2HD,http://39.134.3.65:6610/000000001777/400000000100111002/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_2HD,http://39.134.3.65:6610/000000001666/100000000100111001/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_2HD,http://ltccq.cqa.bcs.ottcn.com/000000001777/400000000100111002/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_2HD,http://ltccq.cqa.bcs.ottcn.com/000000001666/100000000100111001/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_2HD,http://www.angel147.cf:8888/udp/239.49.8.50:9802#isVideo=true
CCTV_2HD,http://171.8.169.50:8800/udp/239.16.10.127:2000#isVideo=true
CCTV_2HD,http://171.8.169.34:8800/udp/239.16.10.127:2000#isVideo=true
CCTV_2HD,http://www.huakangyaoye.cn:8800/udp/225.1.2.78:10462#isVideo=true
CCTV_2HD,http://www.xk8.top:8001/udp/239.69.1.102:10250#isVideo=true
CCTV_2HD,http://swtyc.f3322.org:8880/udp/239.69.1.102:10250#isVideo=true
CCTV_2HD,http://60.223.72.23:8004/udp/226.0.2.154:9144#isVideo=true
CCTV_2HD,http://60.223.72.251:8004/udp/226.0.2.154:9144#isVideo=true
CCTV_2HD,http://60.223.72.66:8001/udp/226.0.2.154:9144#isVideo=true
CCTV_2HD,http://60.223.72.147:8001/udp/226.0.2.154:9144#isVideo=true
CCTV_3HD,http://39.134.3.65:6610/000000001666/100000000100111117/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_3HD,http://39.134.3.65:6610/000000001777/400000000100111057/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_3HD,http://ltccq.cqa.bcs.ottcn.com/000000001666/100000000100111117/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_3HD,http://ltccq.cqa.bcs.ottcn.com/000000001777/400000000100111057/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_3HD,http://www.angel147.cf:8888/udp/239.49.8.74:8000#isVideo=true
CCTV_4HD,http://39.134.3.65:6610/000000001777/400000000100111003/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_4HD,http://39.134.3.65:6610/000000001666/100000000100111003/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_4HD,http://39.134.3.65:6610/000000001666/100000000100111102/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_4HD,http://ltccq.cqa.bcs.ottcn.com/000000001777/400000000100111003/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_4HD,http://ltccq.cqa.bcs.ottcn.com/000000001666/100000000100111003/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_4HD,http://ltccq.cqa.bcs.ottcn.com/000000001666/100000000100111102/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_4HD,http://www.angel147.cf:8888/udp/239.49.8.51:9806#isVideo=true
CCTV_4HD,http://171.8.169.50:8800/udp/239.16.10.128:2000#isVideo=true
CCTV_4HD,http://171.8.169.34:8800/udp/239.16.10.128:2000#isVideo=true
CCTV_5HD,http://39.134.3.65:6610/000000001777/400000000100111058/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_5HD,http://39.134.3.65:6610/000000001666/100000000100111118/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_5HD,http://39.134.3.65:6610/000000001666/100000000100111004/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_5HD,http://ltccq.cqa.bcs.ottcn.com/000000001777/400000000100111058/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_5HD,http://ltccq.cqa.bcs.ottcn.com/000000001666/100000000100111118/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_5HD,http://ltccq.cqa.bcs.ottcn.com/000000001666/100000000100111004/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_5+HD,http://39.134.3.65:6610/000000001777/400000000100111061/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_5+HD,http://39.134.3.65:6610/000000001666/100000000100111103/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_5+HD,http://39.134.3.65:6610/000000001666/100000000100111005/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_5+HD,http://ltccq.cqa.bcs.ottcn.com/000000001777/400000000100111061/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_5+HD,http://ltccq.cqa.bcs.ottcn.com/000000001666/100000000100111103/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_5+HD,
http://ltccq.cqa.bcs.ottcn.com/000000001666/100000000100111005/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_6HD,http://39.134.3.65:6610/000000001777/400000000100111059/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_6HD,http://39.134.3.65:6610/000000001666/100000000100111119/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_6HD,http://ltccq.cqa.bcs.ottcn.com/000000001777/400000000100111059/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_6HD,http://ltccq.cqa.bcs.ottcn.com/000000001666/100000000100111119/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_7HD,http://39.134.3.65:6610/000000001777/400000000100111004/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_7HD,http://39.134.3.65:6610/000000001666/100000000100111007/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_7HD,http://ltccq.cqa.bcs.ottcn.com/000000001777/400000000100111004/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_7HD,http://ltccq.cqa.bcs.ottcn.com/000000001666/100000000100111007/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_7HD,http://171.8.169.50:8800/udp/239.16.10.130:2000#isVideo=true
CCTV_7HD,http://171.8.169.34:8800/udp/239.16.10.130:2000#isVideo=true
CCTV_7HD,http://www.huakangyaoye.cn:8800/udp/225.1.2.79:10468#isVideo=true
CCTV_7HD,http://1.032000.xyz:8848/udp/239.93.31.67:5140#isVideo=true
CCTV_7HD,http://www.dwphic.com:9999/udp/239.69.1.103:10256#isVideo=true
CCTV_7HD,http://swtyc.f3322.org:8880/udp/239.69.1.103:10256#isVideo=true
CCTV_7HD,http://60.223.72.66:8001/udp/226.0.2.159:9184#isVideo=true
CCTV_7HD,http://60.223.72.147:8001/udp/226.0.2.159:9184#isVideo=true
CCTV_7HD,http://60.223.72.66:8002/udp/226.0.2.159:9184#isVideo=true
CCTV_7HD,http://60.223.72.147:8002/udp/226.0.2.159:9184#isVideo=true
CCTV_7HD,http://60.223.72.66:8004/udp/226.0.2.159:9184#isVideo=true
CCTV_8HD,http://39.134.3.65:6610/000000001777/400000000100111060/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_8HD,http://39.134.3.65:6610/000000001666/100000000100111120/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_8HD,http://ltccq.cqa.bcs.ottcn.com/000000001777/400000000100111060/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_8HD,http://ltccq.cqa.bcs.ottcn.com/000000001666/100000000100111120/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_9HD,http://39.134.3.65:6610/000000001777/400000000100111005/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_9HD,http://39.134.3.65:6610/000000001666/100000000100111009/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_9HD,http://ltccq.cqa.bcs.ottcn.com/000000001777/400000000100111005/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_9HD,http://ltccq.cqa.bcs.ottcn.com/000000001666/100000000100111009/1.m3u8?IASHttpSessionId=OTT#isVideo=true
CCTV_9HD,http://1.032000.xyz:8848/udp/239.93.31.24:5140#isVideo=true
